KOD POCZTOWY;MIEJSCOWOŚĆ;WOJEWÓDZTWO;POWIAT
00-001;Warszawa;mazowieckie;Miasto Warszawa
05-070;Sulejówek;mazowieckie;miński
05-074;Halinów;mazowieckie;miński
05-075;Warszawa/Wesoła;mazowieckie;Miasto Warszawa
05-079;Okuniew;mazowieckie;miński
05-080;Izabelin;mazowieckie;warszawski zachodni
05-082;Stare Babice;mazowieckie;warszawski zachodni
05-083;Zaborów;mazowieckie;warszawski zachodni
05-084;Leszno;mazowieckie;warszawski zachodni
05-085;Kampinos;mazowieckie;warszawski zachodni
05-088;Brochów;mazowieckie;sochaczewski
05-089;Tułowice;mazowieckie;sochaczewski
05-090;Raszyn;mazowieckie;pruszkowski
05-091;Ząbki;mazowieckie;wołomiński
05-092;Łomianki;mazowieckie;warszawski zachodni
05-094;Janki;mazowieckie;pruszkowski
05-100;Nowy Dwór Mazowiecki;mazowieckie;nowodworski
05-110;Jabłonna;mazowieckie;legionowski
05-118;Legionowo;mazowieckie;legionowski
05-123;Chotomów;mazowieckie;legionowski
05-124;Skrzeszew;mazowieckie;legionowski
05-126;Nieporęt;mazowieckie;legionowski
05-127;Białobrzegi;mazowieckie;legionowski
05-130;Zegrze Południowe;mazowieckie;legionowski
05-131;Zegrze;mazowieckie;legionowski
05-135;Wieliszew;mazowieckie;legionowski
05-140;Serock;mazowieckie;legionowski
05-152;Czosnów;mazowieckie;nowodworski
05-154;Kazuń Nowy;mazowieckie;nowodworski
05-155;Leoncin;mazowieckie;nowodworski
05-156;Górki;mazowieckie;nowodworski
05-170;Zakroczym;mazowieckie;nowodworski
05-180;Pomiechówek;mazowieckie;nowodworski
05-190;Nasielsk;mazowieckie;nowodworski
05-192;Cieksyn;mazowieckie;nowodworski
05-200;Wołomin;mazowieckie;wołomiński
05-205;Klembów;mazowieckie;wołomiński
05-220;Zielonka;mazowieckie;wołomiński
05-230;Kobyłka;mazowieckie;wołomiński
05-240;Tłuszcz;mazowieckie;wołomiński
05-250;Radzymin;mazowieckie;wołomiński
05-252;Dąbrówka;mazowieckie;wołomiński
05-253;Wola Rasztowska;mazowieckie;wołomiński
05-254;Kuligów;mazowieckie;wołomiński
05-255;Stare Załubice;mazowieckie;wołomiński
05-260;Marki;mazowieckie;wołomiński
05-280;Jadów;mazowieckie;wołomiński
05-281;Urle;mazowieckie;wołomiński
05-282;Strachówka;mazowieckie;wołomiński
05-300;Mińsk Mazowiecki;mazowieckie;miński
05-304;Stanisławów;mazowieckie;miński
05-305;Pustelnik;mazowieckie;miński
05-306;Jakubów;mazowieckie;miński
05-307;Dobre;mazowieckie;miński
05-310;Kałuszyn;mazowieckie;miński
05-311;Dębe Wielkie;mazowieckie;miński
05-317;Jeruzal;mazowieckie;miński
05-319;Cegłów;mazowieckie;miński
05-320;Mrozy;mazowieckie;miński
05-326;Poświętne;mazowieckie;wołomiński
05-332;Siennica;mazowieckie;miński
05-334;Latowicz;mazowieckie;miński
05-340;Kołbiel;mazowieckie;otwocki
05-400;Otwock;mazowieckie;otwocki
05-408;Glinianka;mazowieckie;otwocki
05-410;Józefów;mazowieckie;otwocki
05-430;Celestynów;mazowieckie;otwocki
05-462;Wiązowna;mazowieckie;otwocki
05-480;Karczew;mazowieckie;otwocki
05-500;Piaseczno;mazowieckie;piaseczyński
05-503;Głosków;mazowieckie;piaseczyński
05-504;Złotokłos;mazowieckie;piaseczyński
05-505;Wola Prażmowska;mazowieckie;piaseczyński
05-506;Lesznowola;mazowieckie;piaseczyński
05-507;Słomczyn;mazowieckie;piaseczyński
05-510;Konstancin-Jeziorna;mazowieckie;piaseczyński
05-530;Góra Kalwaria;mazowieckie;piaseczyński
05-532;Baniocha;mazowieckie;piaseczyński
05-533;Sobików;mazowieckie;piaseczyński
05-540;Zalesie Górne;mazowieckie;piaseczyński
05-552;Wólka Kosowska;mazowieckie;piaseczyński
05-555;Tarczyn;mazowieckie;piaseczyński
05-600;Grójec;mazowieckie;grójecki
05-604;Jasieniec;mazowieckie;grójecki
05-610;Goszczyn;mazowieckie;grójecki
05-620;Błędów;mazowieckie;grójecki
05-622;Belsk Duży;mazowieckie;grójecki
05-640;Mogielnica;mazowieckie;grójecki
05-650;Chynów;mazowieckie;grójecki
05-651;Drwalew;mazowieckie;grójecki
